household_key,recency,frequency,monetary,avg_basket_value,total_quantity,avg_quantity,total_discount,discount_rate,unique_products,shopping_days,spend_per_day,coupon_redemptions,coupon_rate,classification_1,classification_2,classification_3,HOMEOWNER_DESC,classification_5,classification_4,KID_CATEGORY_DESC,campaigns_received,campaign_types,coupon_redeemer,campaign_rate,coupon_per_campaign,unique_departments,unique_categories,unique_brands,category_diversity
22,0,136,6256.04,46.00029411764706,434948,3198.1470588235293,804.68,0.12862449728582298,722,119,52.57176470588235,25.0,0.18382352941176472,Age Group4,X,Level6,Homeowner,Group5,2,None/Unknown,0.0,0.0,1,0.0,0.0,10.0,87.0,2.0,0.6397058823529411
23,0,110,3158.58,28.714363636363636,167359,1521.4454545454546,275.98,0.08737470635538755,450,100,31.5858,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8.0,2.0,0,0.07272727272727272,0.0,17.0,145.0,2.0,1.3181818181818181
24,2,74,1911.11,25.82581081081081,960,12.972972972972974,442.64,0.23161408814772566,370,68,28.10455882352941,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.0,1.0,0,0.04054054054054054,0.0,12.0,129.0,2.0,1.7432432432432432
25,6,94,3149.65,33.50691489361702,37391,397.77659574468083,527.44,0.16745987649421365,452,86,36.62383720930233,0.0,0.0,Age Group3,Y,Level5,Unknown,Group6,1,None/Unknown,0.0,0.0,0,0.0,0.0,9.0,95.0,2.0,1.0106382978723405
26,6,113,1937.39,17.145044247787613,1057,9.353982300884956,321.64,0.16601716742627967,481,101,19.182079207920793,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.0,1.0,0,0.035398230088495575,0.0,13.0,115.0,2.0,1.0176991150442478
27,0,405,5736.24,14.163555555555556,3119,7.701234567901235,478.11,0.08334902305342873,546,380,15.095368421052632,0.0,0.0,Age Group4,Y,Level3,Probable Renter,Group3,1,None/Unknown,1.0,1.0,0,0.0024691358024691358,0.0,12.0,118.0,2.0,0.291358024691358
28,9,125,2119.62,16.95696,32861,262.888,308.19,0.1453987035412008,370,120,17.6635,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.0,2.0,0,0.056,0.0,11.0,89.0,2.0,0.712
29,2,69,1343.03,19.464202898550724,669,9.695652173913043,298.2,0.2220352486541626,341,59,22.76322033898305,1.0,0.014492753623188406,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.0,2.0,1,0.057971014492753624,0.25,14.0,114.0,2.0,1.6521739130434783
30,0,28,622.8,22.24285714285714,64818,2314.9285714285716,100.89,0.1619942196531792,133,22,28.30909090909091,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.0,2.0,0,0.17857142857142858,0.0,14.0,89.0,2.0,3.1785714285714284
31,1,69,4396.9,63.723188405797096,368604,5342.086956521739,946.68,0.2153062384862062,686,63,69.79206349206349,2.0,0.028985507246376812,Age Group3,Z,Level4,Homeowner,Group5,2,None/Unknown,0.0,0.0,1,0.0,0.0,13.0,68.0,2.0,0.9855072463768116
32,0,116,3381.82,29.153620689655174,264307,2278.5086206896553,389.98,0.11531660466849211,714,106,31.903962264150945,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,1.0,0,0.017241379310344827,0.0,14.0,137.0,2.0,1.1810344827586208
33,0,52,1200.74,23.091153846153848,28889,555.5576923076923,274.93,0.22896713693222512,257,46,26.10304347826087,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,2.0,0,0.11538461538461539,0.0,14.0,153.0,2.0,2.9423076923076925
34,2,36,407.38,11.31611111111111,10276,285.44444444444446,69.84,0.17143698757916442,120,34,11.981764705882354,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,12.0,76.0,2.0,2.111111111111111
35,4,60,1119.51,18.6585,43905,731.75,153.35999999999999,0.13698850389902725,240,48,23.323125,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,7.0,58.0,2.0,0.9666666666666667
36,3,221,4898.25,22.164027149321267,10709,48.457013574660635,866.01,0.176799877507273,681,182,26.91346153846154,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,11.0,80.0,2.0,0.36199095022624433
37,1,63,2976.66,47.248571428571424,73708,1169.968253968254,544.94,0.18307095872555149,206,56,53.15464285714285,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.0,2.0,0,0.047619047619047616,0.0,14.0,129.0,2.0,2.0476190476190474
38,160,27,706.13,26.152962962962963,275,10.185185185185185,59.16,0.08378060697038789,133,27,26.152962962962963,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,1.0,0,0.07407407407407407,0.0,14.0,82.0,2.0,3.037037037037037
39,26,64,5033.66,78.6509375,13778,215.28125,812.21,0.16135575307033054,1244,56,89.88678571428571,0.0,0.0,Age Group3,X,Level8,Homeowner,Group5,2,None/Unknown,1.0,1.0,0,0.015625,0.0,7.0,68.0,2.0,1.0625
40,1,400,12907.89,32.269725,1240414,3101.035,1293.56,0.10021467490039038,1525,303,42.600297029702965,14.0,0.035,Age Group4,Y,Level1,Homeowner,Group5,2,None/Unknown,5.0,2.0,1,0.0125,2.8,18.0,172.0,2.0,0.43
41,4,73,3107.13,42.56342465753425,1467,20.095890410958905,613.95,0.19759392107829413,355,70,44.38757142857143,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11.0,3.0,0,0.1506849315068493,0.0,20.0,195.0,2.0,2.671232876712329
42,1,89,1985.8600000000001,22.31303370786517,1381,15.51685393258427,545.77,0.27482803420180674,305,87,22.825977011494253,0.0,0.0,Age Group6,Y,Level5,Unknown,Group2,1,None/Unknown,1.0,1.0,0,0.011235955056179775,0.0,9.0,89.0,2.0,1.0
43,1,106,884.84,8.347547169811321,43026,405.9056603773585,88.39,0.09989376610460649,245,90,9.831555555555555,0.0,0.0,Age Group3,Z,Level2,Homeowner,Group4,5+,3+,3.0,1.0,0,0.02830188679245283,0.0,13.0,77.0,2.0,0.7264150943396226
44,83,32,877.76,27.43,395,12.34375,133.74,0.15236511119212542,278,29,30.267586206896553,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.0,2.0,0,0.15625,0.0,10.0,72.0,2.0,2.25
45,124,57,807.09,14.159473684210527,302,5.298245614035087,64.5,0.07991673791027022,158,55,14.674363636363637,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,12.0,92.0,2.0,1.6140350877192982
46,0,137,8433.43,61.557883211678835,94957,693.1167883211679,1523.45,0.1806441744343642,1308,117,72.08059829059829,2.0,0.014598540145985401,Age Group4,X,Level9,Homeowner,Group4,5+,3+,1.0,1.0,1,0.0072992700729927005,2.0,7.0,65.0,2.0,0.4744525547445255
47,3,111,2329.13,20.983153153153154,760,6.846846846846847,293.55,0.1260341844379661,450,101,23.060693069306932,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,9.0,3.0,0,0.08108108108108109,0.0,23.0,197.0,2.0,1.7747747747747749
48,2,50,1172.83,23.456599999999998,41593,831.86,211.2,0.18007724904717648,253,45,26.06288888888889,0.0,0.0,Age Group1,Y,Level4,Homeowner,Group5,2,None/Unknown,3.0,1.0,0,0.06,0.0,14.0,135.0,2.0,2.7
49,9,121,6445.03,53.26471074380165,439122,3629.1074380165287,1453.55,0.22553036991294068,1044,108,59.6762037037037,0.0,0.0,Age Group3,X,Level4,Homeowner,Group5,2,None/Unknown,2.0,2.0,0,0.01652892561983471,0.0,13.0,87.0,2.0,0.71900826446281
50,36,15,351.39,23.426,146,9.733333333333333,38.3,0.10899570278038646,116,15,23.426,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,2.0,0,0.4,0.0,15.0,163.0,2.0,10.866666666666667
51,1,83,3046.86,36.70915662650602,1264,15.228915662650602,351.69,0.11542702979460821,450,78,39.06230769230769,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,7.0,53.0,2.0,0.6385542168674698
52,0,139,5487.28,39.4768345323741,201452,1449.294964028777,565.3,0.10302007552011197,1015,126,43.54984126984127,0.0,0.0,Age Group4,Z,Level5,Homeowner,Group5,2,None/Unknown,4.0,1.0,0,0.02877697841726619,0.0,13.0,112.0,2.0,0.8057553956834532
53,5,56,1962.26,35.04035714285714,83737,1495.3035714285713,379.34,0.19331790894173045,332,52,37.73576923076923,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,2.0,0,0.10714285714285714,0.0,17.0,178.0,2.0,3.1785714285714284
54,216,11,103.09,9.371818181818183,42,3.8181818181818183,18.53,0.17974585313803473,33,11,9.371818181818183,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,12.0,101.0,2.0,9.181818181818182
55,8,141,1072.79,7.6084397163120565,425,3.0141843971631204,194.34,0.18115381388715407,240,135,7.946592592592593,0.0,0.0,Age Group6,X,Level4,Homeowner,Group5,2,None/Unknown,0.0,0.0,0,0.0,0.0,3.0,19.0,2.0,0.1347517730496454
56,2,201,6691.53,33.29119402985074,11135,55.398009950248756,1233.96,0.1844062568650219,1107,181,36.96977900552486,2.0,0.009950248756218905,Age Group5,X,Level7,Homeowner,Group4,4,2,4.0,2.0,1,0.01990049751243781,0.5,9.0,83.0,2.0,0.4129353233830846
57,2,194,3105.87,16.009639175257732,141557,729.6752577319587,500.36,0.16110139831995546,514,156,19.909423076923076,0.0,0.0,Age Group4,Z,Level4,Homeowner,Group5,2,None/Unknown,2.0,2.0,0,0.010309278350515464,0.0,19.0,181.0,2.0,0.9329896907216495
58,0,268,10367.08,38.68313432835821,1209027,4511.294776119403,1542.95,0.1488316864536591,1386,230,45.074260869565215,7.0,0.026119402985074626,Age Group2,X,Level9,Homeowner,Group4,4,2,4.0,2.0,1,0.014925373134328358,1.75,17.0,146.0,2.0,0.5447761194029851
59,27,44,1688.33,38.37113636363636,35749,812.4772727272727,365.8,0.21666380387720413,384,38,44.429736842105264,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10.0,2.0,0,0.22727272727272727,0.0,20.0,184.0,2.0,4.181818181818182
60,14,8,400.94,50.1175,11181,1397.625,216.37,0.5396568065047139,98,8,50.1175,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,14.0,123.0,2.0,15.375
61,16,11,183.8,16.70909090909091,64,5.818181818181818,52.910000000000004,0.28786724700761696,40,11,16.70909090909091,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,10.0,57.0,2.0,5.181818181818182
62,42,33,359.29,10.887575757575759,270,8.181818181818182,72.99,0.2031506582426452,184,28,12.831785714285715,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,5.0,23.0,2.0,0.696969696969697
63,1,33,589.6,17.866666666666667,161,4.878787878787879,72.64,0.12320217096336498,65,30,19.653333333333332,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,9.0,86.0,2.0,2.606060606060606
64,0,264,3917.81,14.840189393939394,1869,7.079545454545454,562.9,0.14367720741945117,760,208,18.835625,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,7.0,34.0,2.0,0.12878787878787878
65,40,122,2042.17,16.73909836065574,606,4.967213114754099,229.22,0.11224334898661717,423,97,21.053298969072166,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.0,2.0,0,0.03278688524590164,0.0,11.0,147.0,2.0,1.2049180327868851
66,26,29,395.95,13.653448275862068,243,8.379310344827585,82.78,0.20906680136380856,163,23,17.215217391304346,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,2.0,0,0.20689655172413793,0.0,10.0,121.0,2.0,4.172413793103448
67,2,227,9618.9,42.37400881057268,340342,1499.3039647577093,2473.85,0.2571863726621547,1322,189,50.89365079365079,33.0,0.14537444933920704,Age Group4,X,Level1,Homeowner,Group4,5+,3+,0.0,0.0,1,0.0,0.0,7.0,70.0,2.0,0.30837004405286345
68,5,553,4960.77,8.970650994575045,203275,367.5858951175407,968.9,0.19531242125718384,962,311,15.951028938906754,1.0,0.0018083182640144665,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,8.0,2.0,1,0.014466546112115732,0.125,22.0,196.0,2.0,0.35443037974683544
69,0,183,5704.34,31.171256830601095,2888,15.781420765027322,1040.63,0.18242776552589784,1190,148,38.54283783783784,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10.0,3.0,0,0.0546448087431694,0.0,16.0,167.0,2.0,0.912568306010929
70,6,32,76.4,2.3875,51,1.59375,10.71,0.14018324607329843,21,32,2.3875,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.0,3.0,0,0.21875,0.0,16.0,155.0,2.0,4.84375
71,0,90,3376.03,37.51144444444445,12505,138.94444444444446,530.38,0.15710168452294557,407,85,39.718,0.0,0.0,Age Group3,X,Level3,Homeowner,Group3,2,None/Unknown,0.0,0.0,0,0.0,0.0,4.0,12.0,2.0,0.13333333333333333
72,17,107,6473.43,60.499345794392525,140869,1316.5327102803737,1002.16,0.15481128242678147,1030,99,65.38818181818182,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,1.0,0,0.018691588785046728,0.0,16.0,109.0,2.0,1.0186915887850467
73,49,164,2864.18,17.46451219512195,215984,1316.9756097560976,242.74,0.08475026010935068,515,132,21.69833333333333,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.0,3.0,0,0.042682926829268296,0.0,17.0,171.0,2.0,1.0426829268292683
74,55,131,2047.64,15.630839694656489,1480,11.297709923664122,864.83,0.42235451544216757,412,121,16.922644628099174,0.0,0.0,Age Group6,X,Level2,Homeowner,Group5,2,None/Unknown,4.0,2.0,0,0.030534351145038167,0.0,13.0,115.0,2.0,0.8778625954198473
75,2,64,1167.09,18.23578125,222787,3481.046875,177.13,0.15177064322374453,148,59,19.781186440677963,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.0,2.0,0,0.078125,0.0,14.0,110.0,2.0,1.71875
76,0,16,315.94,19.74625,164,10.25,76.57000000000001,0.24235614357156424,103,15,21.062666666666665,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,11.0,54.0,2.0,3.375
77,1,87,6227.1,71.57586206896552,2951,33.91954022988506,1260.28,0.20238634356281412,1313,86,72.40813953488373,1.0,0.011494252873563218,Age Group3,X,Level7,Homeowner,Group4,5+,3+,0.0,0.0,1,0.0,0.0,11.0,61.0,2.0,0.7011494252873564
78,2,210,2505.14,11.929238095238095,1546,7.3619047619047615,400.63,0.15992319790510712,390,194,12.913092783505155,0.0,0.0,Age Group5,Y,Level3,Unknown,Group2,1,None/Unknown,2.0,2.0,0,0.009523809523809525,0.0,18.0,170.0,2.0,0.8095238095238095
79,3,154,3950.12,25.65012987012987,241704,1569.5064935064936,780.47,0.19758133930108454,761,134,29.478507462686565,1.0,0.006493506493506494,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.0,2.0,1,0.032467532467532464,0.2,12.0,94.0,2.0,0.6103896103896104
80,17,94,3002.09,31.937127659574468,134902,1435.127659574468,846.51,0.2819735584209667,824,85,35.318705882352944,1.0,0.010638297872340425,Age Group4,Y,Level5,Homeowner,Group5,2,None/Unknown,1.0,1.0,1,0.010638297872340425,1.0,20.0,173.0,2.0,1.8404255319148937
81,5,152,5553.7,36.5375,2942,19.355263157894736,1142.24,0.20567189441273387,1013,119,46.66974789915966,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,2.0,0,0.013157894736842105,0.0,17.0,146.0,2.0,0.9605263157894737
82,3,51,566.51,11.108039215686274,148,2.9019607843137254,90.54,0.15982065629909448,70,51,11.108039215686274,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.0,3.0,0,0.0784313725490196,0.0,15.0,161.0,2.0,3.156862745098039
83,1,110,1183.74,10.761272727272727,42133,383.0272727272727,183.92000000000002,0.1553719566796763,290,96,12.330625,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,7.0,30.0,2.0,0.2727272727272727
84,15,52,1208.09,23.232499999999998,8701,167.32692307692307,150.85,0.12486652484500327,336,48,25.168541666666666,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,1.0,0,0.019230769230769232,0.0,11.0,94.0,2.0,1.8076923076923077
85,1,282,4696.49,16.65421985815603,133187,472.29432624113474,948.81,0.20202534233012312,963,245,19.169346938775508,0.0,0.0,Age Group2,Y,Level4,Unknown,Group2,1,None/Unknown,0.0,0.0,0,0.0,0.0,10.0,105.0,2.0,0.3723404255319149
86,38,46,4019.44,87.37913043478261,16370,355.8695652173913,516.38,0.1284706327249567,757,36,111.6511111111111,0.0,0.0,Age Group6,Z,Level4,Homeowner,Group2,1,None/Unknown,8.0,3.0,0,0.17391304347826086,0.0,18.0,164.0,2.0,3.5652173913043477
87,4,45,1202.3,26.717777777777776,400,8.88888888888889,82.0,0.06820261166098311,197,45,26.717777777777776,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,1.0,0,0.044444444444444446,0.0,15.0,153.0,2.0,3.4
88,3,229,11615.66,50.723406113537116,302041,1318.9563318777293,2233.1,0.1922490844256805,1994,182,63.82230769230769,7.0,0.03056768558951965,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,1,0.0,0.0,6.0,71.0,2.0,0.31004366812227074
89,73,11,177.56,16.14181818181818,52,4.7272727272727275,9.93,0.055924757828339715,46,11,16.14181818181818,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12.0,3.0,0,1.0909090909090908,0.0,19.0,187.0,2.0,17.0
90,34,10,490.41,49.041000000000004,16694,1669.4,57.21,0.11665749067107115,109,9,54.49,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,3.0,21.0,2.0,2.1
91,1,181,2899.66,16.02022099447514,310157,1713.5745856353592,302.99,0.10449156107957486,463,151,19.203046357615893,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,9.0,45.0,2.0,0.24861878453038674
92,6,57,1587.38,27.848771929824565,11137,195.3859649122807,441.19,0.2779359699630838,553,55,28.861454545454546,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,1.0,0,0.03508771929824561,0.0,13.0,125.0,2.0,2.192982456140351
93,160,106,3346.7200000000003,31.572830188679248,23269,219.5188679245283,596.15,0.1781296314002964,485,101,33.13584158415842,8.0,0.07547169811320754,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,1.0,1,0.009433962264150943,8.0,17.0,133.0,2.0,1.2547169811320755
94,13,36,442.64,12.295555555555556,17964,499.0,109.27,0.24685975058738477,119,35,12.646857142857142,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12.0,3.0,0,0.3333333333333333,0.0,13.0,107.0,2.0,2.9722222222222223
95,2,308,6500.18,21.10448051948052,451641,1466.3668831168832,1937.51,0.2980702072865674,1192,244,26.640081967213117,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0,0.0,0.0,10.0,57.0,2.0,0.18506493506493507
96,3,59,1182.43,20.04118644067797,415,7.033898305084746,169.06,0.14297675126645976,254,49,24.13122448979592,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.0,2.0,0,0.0847457627118644,0.0,17.0,163.0,2.0,2.76271186440678
97,5,180,5323.95,29.5775,390421,2169.0055555555555,982.49,0.18454155279444773,968,164,32.46310975609756,0.0,0.0,Age Group4,Y,Level6,Unknown,Group3,1,None/Unknown,2.0,1.0,0,0.011111111111111112,0.0,10.0,83.0,2.0,0.46111111111111114
98,1,205,2547.3,12.425853658536587,1810,8.829268292682928,526.12,0.20654025831272327,683,157,16.224840764331212,0.0,0.0,Age Group3,Y,Level4,Unknown,Group1,2,1,4.0,2.0,0,0.01951219512195122,0.0,14.0,140.0,2.0,0.6829268292682927
99,2,255,6926.15,27.161372549019607,51390,201.52941176470588,1164.32,0.1681049356424565,1327,191,36.262565445026176,4.0,0.01568627450980392,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.0,2.0,1,0.00784313725490196,2.0,13.0,137.0,2.0,0.5372549019607843
